Date,City,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity
2022-01-02,Kolkata,279,113.6,231.0,44.8,27.1,1.75,25.7,13.8,65.7
2022-01-02,Lucknow,344,177.5,288.4,68.3,16.3,3.0,37.3,15.8,42.4
2022-01-02,Mumbai,221,96.4,201.8,35.9,21.9,1.43,25.3,19.9,55.0
2022-01-02,Patna,336,166.4,315.9,47.7,20.4,3.56,29.7,12.5,52.3
2022-01-02,Pune,180,84.0,154.9,38.3,10.0,1.63,27.7,22.6,47.4
2022-01-03,Ahmedabad,294,118.2,247.4,76.2,27.1,1.93,27.0,23.4,47.9
2022-01-03,Bengaluru,102,49.0,103.5,29.9,11.0,1.16,22.3,28.6,52.9
2022-01-03,Bhopal,153,76.0,163.3,62.9,16.5,1.92,30.2,15.7,41.7
2022-01-03,Chandigarh,316,141.0,259.4,48.2,12.3,1.71,28.6,15.8,55.2
2022-01-03,Chennai,111,63.4,102.3,33.3,25.2,1.23,25.8,24.7,72.7
2022-01-03,Delhi,415,220.3,447.4,75.7,30.4,3.08,29.6,13.4,58.2
2022-01-03,Hyderabad,142,72.7,113.8,41.0,10.9,1.32,26.9,23.5,56.9
2022-01-03,Jaipur,304,125.0,237.3,76.0,12.0,2.5,36.5,19.1,58.8
2022-01-03,Kanpur,413,204.1,445.7,76.1,18.1,2.68,38.3,16.7,48.1
2022-01-03,Kolkata,250,105.0,214.0,68.7,20.1,2.12,31.7,21.1,70.6
2022-01-03,Lucknow,319,145.0,248.0,80.0,10.8,2.64,34.6,14.3,55.9
2022-01-03,Mumbai,185,85.6,172.4,54.1,26.7,1.41,31.0,19.0,46.7
2022-01-03,Patna,350,185.1,329.4,104.6,33.2,3.05,37.7,16.4,54.2
2022-01-03,Pune,153,75.8,120.3,42.9,11.6,1.51,,24.6,44.1
2022-01-04,Ahmedabad,273,112.0,232.0,56.3,22.8,1.82,20.2,20.1,54.1
2022-01-04,Bengaluru,106,53.0,109.1,35.7,11.1,1.12,22.1,23.8,56.3
2022-01-04,Bhopal,155,76.4,127.0,28.3,22.9,1.34,25.7,13.6,41.5
2022-01-04,Chandigarh,301,121.4,192.3,64.9,11.5,1.93,25.1,14.7,50.1
2022-01-04,Chennai,96,49.5,96.3,34.8,21.1,1.2,30.9,24.0,67.9
2022-01-04,Delhi,382,209.9,415.2,111.5,22.4,2.91,27.3,15.1,61.8
2022-01-04,Hyderabad,109,62.7,98.3,30.8,14.2,1.24,29.2,22.7,65.3
2022-01-04,Jaipur,316,140.9,302.6,67.4,14.4,2.26,29.6,15.1,66.4
2022-01-04,Kanpur,343,175.7,275.1,59.4,16.3,3.21,20.3,13.2,56.0
2022-01-04,Kolkata,268,110.4,177.8,67.6,20.5,1.78,41.1,15.0,73.1
2022-01-04,Lucknow,327,155.6,247.2,75.9,26.4,3.06,30.7,16.0,52.8
2022-01-04,Mumbai,148,74.5,160.4,44.9,21.3,1.83,27.3,21.8,55.1
2022-01-04,Patna,359,197.1,346.8,83.0,25.3,2.86,30.5,14.4,56.9
2022-01-04,Pune,129,68.7,134.2,48.9,12.2,1.18,31.1,19.0,61.4
2022-01-05,Ahmedabad,233,99.9,207.7,61.5,20.8,2.32,29.4,23.2,54.0
2022-01-05,Bengaluru,113,59.1,119.8,30.6,9.5,1.03,24.1,21.1,56.6
2022-01-05,Bhopal,185,85.5,141.1,48.6,22.0,1.61,30.6,14.0,42.4
2022-01-05,Chandigarh,300,119.9,253.1,71.9,11.8,2.16,25.1,13.2,60.2
2022-01-05,Chennai,122,66.6,130.8,35.5,18.1,1.3,34.7,25.1,68.1
2022-01-05,Delhi,356,193.4,320.8,92.6,28.0,3.41,28.2,14.4,55.7
2022-01-05,Hyderabad,143,72.8,134.5,42.6,9.4,1.07,25.0,24.0,57.5
2022-01-05,Jaipur,337,167.5,361.9,62.5,13.9,2.12,27.5,17.2,58.2
2022-01-05,Kanpur,383,194.9,416.5,90.9,25.4,2.7,31.5,14.7,65.3
2022-01-05,Kolkata,291,117.4,214.0,78.9,23.2,1.84,21.2,13.4,72.2
2022-01-05,Lucknow,315,,223.4,80.9,17.6,3.51,34.1,13.5,49.4
2022-01-05,Mumbai,200,89.9,154.5,57.3,19.8,1.88,22.1,18.9,63.0
2022-01-05,Patna,358,195.9,346.6,66.8,21.4,2.92,26.6,15.7,57.6
2022-01-05,Pune,153,76.0,125.8,43.3,10.4,1.52,32.9,20.3,53.2
2022-01-06,Ahmedabad,208,92.3,143.1,59.7,21.1,1.69,31.1,21.8,49.4
2022-01-06,Bengaluru,77,38.6,76.9,32.8,10.6,1.1,27.3,23.3,56.7
2022-01-06,Bhopal,167,80.1,140.9,50.9,16.2,1.78,32.4,14.7,53.2
2022-01-06,Chandigarh,259,107.6,176.1,71.6,10.7,2.42,23.7,12.6,63.0
2022-01-06,Chennai,125,65.4,138.2,31.3,24.9,0.96,25.5,24.3,71.9
2022-01-06,Delhi,368,208.2,332.7,93.0,24.7,3.29,,11.4,53.1
2022-01-06,Hyderabad,128,67.4,142.3,47.2,10.9,1.04,30.3,24.4,58.4
2022-01-06,Jaipur,317,141.9,263.1,45.2,9.1,2.62,23.8,13.8,47.6
2022-01-06,Kanpur,413,208.6,445.8,74.3,22.9,2.93,25.6,16.3,60.3
2022-01-06,Kolkata,228,98.4,168.1,60.6,24.1,2.22,31.9,15.7,59.9
2022-01-06,Lucknow,350,184.4,371.8,68.4,31.6,2.69,38.8,12.7,55.1
2022-01-06,Mumbai,232,99.6,176.1,48.9,24.0,2.28,30.5,19.7,51.8
2022-01-06,Patna,355,191.9,328.4,89.4,24.2,2.73,34.3,15.2,47.5
2022-01-06,Pune,159,77.6,119.0,42.5,14.6,1.55,30.6,17.7,54.1
2022-01-07,Ahmedabad,276,112.9,230.4,52.9,25.0,2.12,26.5,19.3,38.2
2022-01-07,Bengaluru,71,40.8,71.5,36.4,8.9,1.28,29.6,22.7,58.2
2022-01-07,Bhopal,190,87.1,144.1,50.1,23.2,1.7,18.0,16.7,46.5
2022-01-07,Chandigarh,219,95.7,159.6,67.0,13.2,1.84,24.0,15.2,62.9
2022-01-07,Chennai,121,61.1,131.4,49.0,16.3,1.14,24.9,25.3,74.5
2022-01-07,Delhi,351,185.7,296.7,103.3,20.2,3.61,22.3,13.4,56.0
2022-01-07,Hyderabad,100,59.8,94.8,34.5,11.3,1.39,17.6,23.9,49.6
2022-01-07,Jaipur,304,125.0,,78.1,10.4,2.51,21.2,14.1,60.7
2022-01-07,Kanpur,348,181.9,347.2,89.3,17.6,2.93,31.0,15.1,51.2
2022-01-07,Kolkata,269,110.6,227.7,40.4,22.6,1.7,28.0,18.7,53.0
2022-01-07,Lucknow,351,186.0,338.1,69.8,23.9,3.28,26.4,15.0,53.7
2022-01-07,Mumbai,157,77.0,161.6,42.6,24.4,1.75,28.2,18.6,56.4
2022-01-07,Patna,360,197.8,363.7,61.1,25.1,2.73,19.6,15.2,43.5
2022-01-07,Pune,193,88.0,166.7,41.7,11.8,1.23,26.5,18.6,49.6
2022-01-08,Ahmedabad,306,127.5,206.3,57.3,21.3,2.03,24.8,21.2,42.1
2022-01-08,Bengaluru,83,44.7,68.0,31.9,9.9,1.66,20.6,21.4,65.9
2022-01-08,Bhopal,132,69.7,125.3,42.3,16.7,1.37,17.0,16.8,59.1
2022-01-08,Chandigarh,272,111.5,222.0,78.5,8.8,1.87,24.6,15.5,53.5
2022-01-08,Chennai,103,49.6,103.9,46.4,20.9,1.27,20.7,23.1,64.9
2022-01-08,Delhi,374,216.4,370.6,79.9,22.2,3.56,,11.7,48.2
2022-01-08,Hyderabad,136,70.7,124.6,49.2,14.5,1.3,28.0,23.5,57.3
2022-01-08,Jaipur,316,141.0,291.3,69.2,11.6,2.21,21.1,11.7,61.0
2022-01-08,Kanpur,305,126.0,222.6,81.4,32.1,3.26,31.7,13.9,61.6
2022-01-08,Kolkata,305,126.4,231.0,63.2,21.0,2.13,24.4,13.9,74.8
2022-01-08,Lucknow,340,171.7,362.4,72.4,24.2,2.72,38.8,15.8,56.7
2022-01-08,Mumbai,165,79.4,153.9,41.5,22.6,2.6,25.5,22.0,44.5
2022-01-08,Patna,338,169.4,317.9,66.0,27.4,2.71,28.2,16.3,48.0
2022-01-08,Pune,223,96.8,210.1,55.4,13.8,1.67,32.1,19.3,46.9
2022-01-09,Ahmedabad,286,115.7,227.9,40.2,21.7,2.19,28.0,21.7,
2022-01-09,Bengaluru,79,47.6,77.9,21.1,10.8,1.1,24.7,24.1,
2022-01-09,Bhopal,171,81.2,129.2,37.9,21.2,1.87,20.5,16.2,51.8
2022-01-09,Chandigarh,283,114.8,232.5,45.2,13.8,1.78,26.4,11.8,56.4
2022-01-09,Chennai,105,55.8,107.4,32.6,26.4,1.33,17.1,21.1,63.9
2022-01-09,Delhi,346,179.5,306.1,69.8,22.3,3.23,35.6,13.4,57.7
2022-01-09,Hyderabad,113,60.2,118.9,29.0,8.4,1.44,29.0,26.0,57.1
2022-01-09,Jaipur,329,157.3,291.8,38.3,9.8,2.5,25.9,10.6,65.3
2022-01-09,Kanpur,340,172.5,360.8,73.3,25.9,2.68,30.6,14.9,53.5
2022-01-09,Kolkata,262,108.7,237.7,36.7,25.0,2.15,36.6,16.1,66.6
2022-01-09,Lucknow,322,148.6,287.3,47.9,24.1,2.92,28.5,12.2,50.3
2022-01-09,Mumbai,194,88.1,132.3,33.6,21.5,1.97,36.7,20.9,57.0
2022-01-09,Patna,335,165.0,313.3,72.5,22.6,3.18,35.2,13.7,52.1
2022-01-09,Pune,151,75.2,113.2,31.3,9.4,1.59,21.9,21.2,57.2
2022-01-10,Ahmedabad,301,120.9,231.6,44.9,27.3,2.51,30.3,23.4,60.6
2022-01-10,Bengaluru,69,41.5,67.7,39.7,7.4,1.2,19.4,21.6,58.7
2022-01-10,Bhopal,207,92.1,147.8,45.9,20.0,1.28,28.6,18.5,46.8
2022-01-10,Chandigarh,273,111.9,187.3,54.8,11.4,1.94,25.9,17.1,45.6
2022-01-10,Chennai,144,73.1,125.6,32.7,14.6,1.42,14.9,23.1,73.6
2022-01-10,Delhi,348,182.2,284.8,69.2,26.8,2.93,32.1,14.9,57.7
2022-01-10,Hyderabad,160,78.1,137.8,39.1,12.2,0.88,19.3,23.0,58.0
2022-01-10,Jaipur,309,,209.9,66.0,13.2,2.28,30.2,15.7,47.1
2022-01-10,Kanpur,340,171.6,276.5,76.3,21.9,2.39,31.7,13.7,53.1
2022-01-10,Kolkata,288,116.4,213.4,64.6,29.5,2.04,21.5,16.8,
2022-01-10,Lucknow,326,153.4,255.0,75.2,21.1,2.81,33.9,13.4,60.4
2022-01-10,Mumbai,179,83.8,136.4,48.4,20.4,1.41,30.5,19.8,56.2
2022-01-10,Patna,341,173.0,379.0,62.6,30.6,2.5,32.4,13.6,54.1
2022-01-10,Pune,226,97.7,183.9,58.6,11.2,1.53,26.4,20.3,49.3
2022-01-11,Ahmedabad,261,108.3,231.0,51.7,34.7,2.28,28.4,17.5,51.5
2022-01-11,Bengaluru,66,38.8,66.3,31.8,11.4,0.97,24.9,20.7,58.7
2022-01-11,Bhopal,188,86.3,158.1,44.9,21.2,1.25,27.0,12.7,49.1
2022-01-11,Chandigarh,240,102.0,202.9,63.7,11.3,2.16,27.7,13.8,47.3
2022-01-11,Chennai,91,54.7,84.2,38.6,23.2,1.27,22.6,21.5,72.3
2022-01-11,Delhi,373,215.0,367.9,83.4,16.2,2.47,24.4,12.2,57.4
2022-01-11,Hyderabad,112,63.7,106.5,45.0,11.4,1.32,27.9,22.9,58.6
2022-01-11,Jaipur,307,128.8,197.5,66.0,11.0,2.25,26.0,11.7,57.8
2022-01-11,Kanpur,357,193.6,348.0,87.3,22.9,2.74,25.4,12.9,55.1
2022-01-11,Kolkata,260,107.9,193.9,67.9,25.2,1.68,31.4,16.5,67.0
2022-01-11,Lucknow,320,146.4,296.5,74.8,,2.26,21.2,12.6,58.5
2022-01-11,Mumbai,183,84.8,173.0,54.6,23.7,1.58,27.9,18.9,54.0
2022-01-11,Patna,383,200.0,416.0,73.3,21.2,2.53,27.7,17.0,59.3
2022-01-11,Pune,125,63.1,136.8,52.5,14.7,1.5,23.6,17.9,56.3
2022-01-12,Ahmedabad,236,100.7,211.1,68.9,20.6,1.52,28.1,20.0,49.6
2022-01-12,Bengaluru,89,50.1,89.3,24.5,7.9,1.23,27.4,27.4,64.2
2022-01-12,Bhopal,184,85.3,165.2,61.7,24.8,1.71,28.5,16.5,39.8
2022-01-12,Chandigarh,252,105.5,162.1,63.7,14.2,2.82,25.0,12.4,58.1
2022-01-12,Chennai,114,64.3,103.5,37.3,17.3,1.43,21.4,24.1,76.1
2022-01-12,Delhi,343,176.3,384.1,79.9,28.0,2.71,30.8,12.3,53.0
2022-01-12,Hyderabad,84,45.0,84.2,48.3,9.5,1.0,28.2,23.1,62.6
2022-01-12,Jaipur,326,153.5,331.3,61.9,10.8,2.55,30.8,13.8,59.1
2022-01-12,Kanpur,338,169.0,276.0,60.5,28.0,2.78,26.6,12.0,57.5
2022-01-12,Kolkata,270,110.9,,60.3,17.1,1.55,31.2,18.0,75.6
2022-01-12,Lucknow,317,141.7,295.5,71.0,21.9,2.71,35.9,16.2,67.0
2022-01-12,Mumbai,190,87.1,170.4,36.9,22.3,1.72,17.4,17.5,62.9
2022-01-12,Patna,337,167.8,280.7,92.1,29.7,3.76,36.0,14.8,62.7
2022-01-12,Pune,129,68.7,128.7,35.7,12.5,1.84,27.1,19.8,49.8
2022-01-13,Ahmedabad,311,134.3,266.4,54.9,24.4,1.64,29.4,18.6,57.9
2022-01-13,Bengaluru,102,50.6,102.4,27.3,12.4,1.09,26.7,19.9,44.9
2022-01-13,Bhopal,248,104.5,159.5,49.7,24.8,1.99,35.2,15.0,51.3
2022-01-13,Chandigarh,316,141.1,308.2,58.1,13.4,2.37,30.0,13.2,58.5
2022-01-13,Chennai,100,57.5,100.1,31.7,16.6,1.63,26.9,20.7,64.0
2022-01-13,Delhi,371,212.7,364.6,87.4,21.5,2.47,32.4,13.0,56.4
2022-01-13,Hyderabad,116,64.7,115.1,38.2,6.5,1.2,21.8,21.3,54.9
2022-01-13,Jaipur,282,114.5,230.9,76.4,14.2,2.77,26.6,10.9,53.4
2022-01-13,Kanpur,373,215.3,325.2,93.6,15.3,3.88,45.1,9.1,54.4
2022-01-13,Kolkata,268,110.4,226.1,43.0,15.2,2.22,29.8,19.4,79.1
2022-01-13,Lucknow,309,131.2,268.9,70.2,27.6,2.85,38.8,15.9,61.4
2022-01-13,Mumbai,217,95.0,197.9,35.5,27.7,1.65,23.1,19.6,54.2
2022-01-13,Patna,328,156.6,304.0,92.1,19.6,2.41,31.7,15.3,
2022-01-13,Pune,201,90.2,135.4,41.9,4.8,1.86,25.8,18.4,62.7
2022-01-14,Ahmedabad,292,117.6,241.5,72.5,15.5,2.0,23.3,16.3,43.8
2022-01-14,Bengaluru,139,71.7,146.9,42.5,8.7,0.87,31.9,23.8,58.7
2022-01-14,Bhopal,155,76.4,152.7,59.3,25.7,1.63,28.1,17.3,48.4
2022-01-14,Chandigarh,296,118.8,215.2,68.2,9.7,2.37,31.1,15.5,64.5
2022-01-14,Chennai,140,71.9,119.6,41.1,19.7,1.2,19.1,22.3,63.8
2022-01-14,Delhi,367,206.4,403.5,71.4,25.3,3.26,39.9,15.5,57.1
2022-01-14,Hyderabad,123,66.9,104.4,32.0,10.7,1.3,24.1,25.4,62.2
2022-01-14,Jaipur,323,150.4,271.0,57.1,10.1,2.21,18.8,13.1,55.3
2022-01-14,Kanpur,338,169.1,272.8,90.5,23.5,2.59,30.3,14.9,47.9
2022-01-14,Kolkata,251,105.2,173.6,60.4,13.2,1.71,29.5,15.8,67.7
2022-01-14,Lucknow,330,158.5,337.9,58.3,30.4,3.08,28.4,16.3,51.2
2022-01-14,Mumbai,207,92.0,145.7,44.9,17.7,1.51,27.4,20.9,62.0
2022-01-14,Patna,354,190.2,327.4,80.4,23.2,3.54,30.5,15.7,66.7
2022-01-14,Pune,168,80.3,140.6,49.3,11.6,1.45,29.1,21.7,46.4
2022-01-15,Ahmedabad,308,129.8,226.1,58.0,25.2,2.14,30.9,19.2,56.3
2022-01-15,Bengaluru,112,55.9,117.6,27.3,10.2,1.28,23.3,23.8,55.3
2022-01-15,Bhopal,233,99.9,197.3,48.8,19.4,1.72,17.4,19.5,40.3
2022-01-15,Chandigarh,271,111.4,243.1,69.3,13.8,2.51,22.5,15.7,61.1
2022-01-15,Chennai,123,60.9,133.8,34.7,12.9,,19.4,23.8,62.6
2022-01-15,Delhi,384,,372.1,72.6,22.5,2.5,35.7,13.6,46.2
2022-01-15,Hyderabad,112,54.9,117.4,26.4,11.3,1.06,31.2,20.9,62.2
2022-01-15,Jaipur,311,133.9,241.5,61.1,10.8,2.66,28.6,19.7,53.0
2022-01-15,Kanpur,329,157.4,302.3,79.0,22.1,3.24,41.3,15.0,45.9
2022-01-15,Kolkata,245,103.4,226.3,62.0,21.6,2.1,27.6,16.9,69.0
2022-01-15,Lucknow,311,134.3,232.1,73.1,24.5,2.93,34.9,15.0,58.3
2022-01-15,Mumbai,215,94.5,190.1,55.0,14.6,2.0,28.0,18.5,58.2
2022-01-15,Patna,349,184.2,291.0,73.0,27.0,3.0,42.5,14.8,53.0
2022-01-15,Pune,111,63.3,109.3,,10.9,1.82,22.8,19.7,43.7
2022-01-16,Ahmedabad,223,97.0,150.3,41.8,20.5,2.74,35.3,20.3,44.2
2022-01-16,Bengaluru,85,51.1,81.4,22.8,13.5,1.09,23.8,23.5,50.2
2022-01-16,Bhopal,163,78.9,158.6,34.6,22.3,2.09,26.9,15.3,38.2
2022-01-16,Chandigarh,253,105.8,201.1,33.2,12.8,1.84,18.9,14.7,54.6
2022-01-16,Chennai,98,53.8,97.6,33.1,21.6,1.24,18.0,21.9,67.9
2022-01-16,Delhi,343,176.4,274.9,82.2,38.6,3.35,26.3,10.2,56.6
2022-01-16,Hyderabad,89,44.5,88.9,32.7,12.6,1.44,29.3,25.6,56.6
2022-01-16,Jaipur,317,142.7,293.9,61.8,14.6,1.77,23.3,13.8,51.9
2022-01-16,Kanpur,326,153.7,245.5,44.9,28.0,2.51,39.7,17.3,53.5
2022-01-16,Kolkata,255,106.6,195.4,57.7,26.9,2.44,34.3,16.5,66.9
2022-01-16,Lucknow,325,152.5,334.8,69.7,16.9,2.62,23.1,12.7,55.1
2022-01-16,Mumbai,163,78.8,161.4,40.4,22.0,1.77,25.1,20.9,63.6
2022-01-16,Patna,325,152.5,308.8,44.3,23.7,2.39,28.1,14.0,49.6
2022-01-16,Pune,192,87.6,186.1,37.3,10.3,1.79,33.5,21.8,
2022-01-17,Ahmedabad,196,88.9,168.4,60.4,14.8,2.09,25.7,20.3,61.7
2022-01-17,Bengaluru,95,46.1,95.2,39.5,8.1,1.18,22.2,25.7,69.1
2022-01-17,Bhopal,252,105.5,224.5,38.6,23.8,1.53,33.2,16.8,45.8
2022-01-17,Chandigarh,307,129.5,248.8,63.9,13.8,1.81,28.1,13.7,58.9
2022-01-17,Chennai,84,50.5,80.4,31.6,19.2,1.23,33.8,23.5,64.6
2022-01-17,Delhi,345,178.4,322.4,82.6,29.6,3.23,31.1,12.1,45.0
2022-01-17,Hyderabad,122,61.6,133.3,37.4,9.5,1.19,21.7,24.8,66.6
2022-01-17,Jaipur,275,112.5,244.9,68.1,14.0,2.72,27.8,16.7,57.0
2022-01-17,Kanpur,355,191.1,330.1,74.6,18.8,2.86,28.7,13.4,60.7
2022-01-17,Kolkata,264,109.1,215.1,49.2,17.6,1.61,26.3,16.2,64.3
2022-01-17,Lucknow,332,161.2,289.4,70.1,22.9,3.27,35.2,12.0,50.9
2022-01-17,Mumbai,195,88.4,162.5,34.8,20.0,2.04,23.1,17.8,54.2
2022-01-17,Patna,329,158.0,329.6,64.8,21.3,2.43,33.7,14.4,62.2
2022-01-17,Pune,162,78.7,171.4,42.9,8.6,1.79,25.7,18.9,48.4
2022-01-18,Ahmedabad,305,127.0,213.1,60.6,19.2,2.21,27.2,18.5,54.9
2022-01-18,Bengaluru,92,54.9,82.6,33.8,8.0,1.29,15.1,23.3,69.6
2022-01-18,Bhopal,134,70.1,124.5,49.5,13.0,1.45,23.9,16.9,33.4
2022-01-18,Chandigarh,270,111.1,227.1,74.0,7.6,2.3,33.1,15.0,66.8
2022-01-18,Chennai,82,49.0,75.0,38.4,22.6,1.2,17.7,23.8,64.7
2022-01-18,Delhi,352,187.6,377.0,86.0,29.2,2.92,25.2,12.3,50.6
2022-01-18,Hyderabad,117,65.1,126.0,38.3,13.6,1.09,26.6,22.2,54.4
2022-01-18,Jaipur,321,147.7,307.9,66.8,16.0,2.89,29.9,14.7,53.9
2022-01-18,Kanpur,343,175.6,317.2,100.2,19.2,2.99,28.5,13.4,59.8
2022-01-18,Kolkata,257,107.0,230.8,46.9,17.1,1.8,27.2,18.5,67.6
2022-01-18,Lucknow,345,178.1,370.6,83.8,19.3,3.31,33.1,12.0,51.8
2022-01-18,Mumbai,133,70.0,138.5,45.9,19.3,1.55,27.6,19.7,48.8
2022-01-18,Patna,406,212.4,436.7,84.9,25.8,2.83,30.3,12.2,60.0
2022-01-18,Pune,116,64.7,103.6,50.4,10.4,1.6,23.7,19.5,43.2
2022-01-19,Ahmedabad,171,81.2,169.4,67.5,24.6,1.83,27.9,20.5,59.4
2022-01-19,Bengaluru,83,40.2,82.8,31.4,8.0,0.85,22.4,22.5,51.2
2022-01-19,Bhopal,242,102.6,221.8,66.6,22.6,1.65,29.1,16.8,45.7
2022-01-19,Chandigarh,303,124.1,220.5,62.9,13.0,2.08,23.5,11.8,56.1
2022-01-19,Chennai,95,53.8,95.1,40.3,28.9,1.12,31.3,24.7,67.3
2022-01-19,Delhi,467,247.2,510.6,72.9,29.0,3.34,31.1,13.9,51.1
2022-01-19,Hyderabad,114,56.0,121.3,26.5,9.8,1.18,17.6,24.8,64.0
2022-01-19,Jaipur,304,125.7,247.4,50.6,12.0,2.71,36.1,15.3,45.9
2022-01-19,Kanpur,408,224.5,439.2,82.9,20.3,2.55,24.8,13.2,56.5
2022-01-19,Kolkata,204,91.2,165.4,51.2,23.1,2.43,23.6,18.7,75.6
2022-01-19,Lucknow,328,156.9,292.7,62.4,17.0,2.99,31.8,14.2,56.6
2022-01-19,Mumbai,163,78.8,147.4,50.5,25.2,1.35,28.4,22.7,60.3
2022-01-19,Patna,343,176.2,378.6,69.2,29.5,1.73,41.0,11.6,58.0
2022-01-19,Pune,188,86.4,187.8,35.6,13.1,1.58,25.7,20.0,52.9
2022-01-20,Ahmedabad,308,130.2,196.5,47.9,16.2,,31.7,19.1,53.4
2022-01-20,Bengaluru,101,49.8,101.7,29.9,11.2,1.17,29.1,21.1,55.3
2022-01-20,Bhopal,137,71.1,108.2,54.7,27.7,1.56,26.6,14.8,51.6
2022-01-20,Chandigarh,196,88.7,147.6,66.8,14.1,2.11,36.0,16.4,57.9
2022-01-20,Chennai,89,53.1,86.2,28.3,16.5,0.75,25.5,25.6,71.1
2022-01-20,Delhi,368,208.4,376.0,68.2,25.3,3.9,32.9,13.8,56.7
2022-01-20,Hyderabad,144,73.2,114.4,32.1,10.6,1.28,26.2,25.5,58.5
2022-01-20,Jaipur,294,118.1,246.4,60.7,14.8,2.18,31.3,12.3,53.8
2022-01-20,Kanpur,318,143.3,277.4,94.2,21.2,2.37,33.9,9.8,61.7
2022-01-20,Kolkata,260,108.0,189.7,63.8,24.8,1.98,33.7,15.5,73.1
2022-01-20,Lucknow,327,155.5,246.9,72.4,35.5,3.25,28.7,13.1,37.8
2022-01-20,Mumbai,200,90.1,194.1,42.5,21.9,1.29,28.3,20.0,50.4
2022-01-20,Patna,355,184.3,394.0,51.8,22.1,2.72,19.2,14.1,48.5
2022-01-20,Pune,210,93.0,183.2,42.7,7.5,1.71,28.4,22.0,60.3
2022-01-21,Ahmedabad,235,100.5,156.5,63.6,21.1,1.78,32.9,21.6,53.8
2022-01-21,Bengaluru,84,,76.2,37.2,9.5,1.15,23.9,23.4,51.6
2022-01-21,Bhopal,161,78.3,165.8,36.4,23.9,1.6,39.3,14.9,43.4
2022-01-21,Chandigarh,258,107.3,192.0,58.1,12.7,2.28,26.0,16.0,53.6
2022-01-21,Chennai,89,53.4,84.6,42.3,15.4,1.61,31.9,21.0,
2022-01-21,Delhi,421,231.6,454.8,98.4,26.5,3.88,33.1,11.8,46.8
2022-01-21,Hyderabad,121,66.4,130.2,32.0,3.4,0.96,29.7,26.0,52.3
2022-01-21,Jaipur,303,124.0,255.4,51.3,8.2,2.37,26.2,15.2,53.6
2022-01-21,Kanpur,373,188.8,408.3,91.7,23.6,2.85,23.6,15.1,59.1
2022-01-21,Kolkata,232,99.6,216.7,59.5,23.4,2.13,26.1,17.4,71.8
2022-01-21,Lucknow,355,191.8,344.4,59.1,18.1,2.95,29.8,15.2,55.5
2022-01-21,Mumbai,193,87.9,176.9,59.2,25.3,2.03,24.7,19.5,58.5
2022-01-21,Patna,349,183.3,351.3,73.4,25.7,2.72,21.6,13.6,59.5
2022-01-21,Pune,121,63.9,130.8,46.7,13.9,1.55,35.1,20.1,59.8
2022-01-22,Ahmedabad,257,107.1,198.3,69.1,18.4,2.05,36.4,19.5,49.2
2022-01-22,Bengaluru,86,47.0,86.1,36.9,9.5,1.21,21.7,21.9,65.1
2022-01-22,Bhopal,224,97.1,212.6,46.5,16.6,2.35,28.7,16.4,49.8
